"Â Date","Â Venue","Â Team","Score","Margin","Win Odds","Win Paid","Line Odds","by","ratio","Line Paid","Round"
"14 Mar 14","Etihad","Magpies","46","-70","2.50","0.00","+9.5",":","1.91","0.00","2014 Round 1"
"14 Mar 14","Etihad","Dockers","116","+70","1.56","1.56","-9.5",":","1.91","1.91","2014 Round 1"
"15 Mar 14","Spotless","Giants","99","+32","12.00","12.00","+44.5",":","1.91","1.91","2014 Round 1"
"15 Mar 14","Spotless","Swans","67","-32","1.04","0.00","-44.5",":","1.91","0.00","2014 Round 1"
"15 Mar 14","Metricon","Suns","87","+18","2.80","2.80","+14.5",":","1.91","1.91","2014 Round 1"
"15 Mar 14","Metricon","Tigers","69","-18","1.45","0.00","-14.5",":","1.91","0.00","2014 Round 1"
"16 Mar 14","Etihad","Blues","87","-33","1.70","0.00","-6.5",":","1.91","0.00","2014 Round 1"
"16 Mar 14","Etihad","Power","120","+33","2.20","2.20","+6.5",":","1.91","1.91","2014 Round 1"
"20 Mar 14","Simonds","Cats","119","+38","1.36","1.36","-19.5",":","1.91","1.91","2014 Round 1"
"20 Mar 14","Simonds","Crows","81","-38","3.25","0.00","+19.5",":","1.91","0.00","2014 Round 1"
"21 Mar 14","Etihad","Kangaroos","60","-39","1.50","0.00","-13.5",":","1.91","0.00","2014 Round 1"
"21 Mar 14","Etihad","Bombers","99","+39","2.65","2.65","+13.5",":","1.91","1.91","2014 Round 1"
"22 Mar 14","Aurora","Hawks","139","+48","1.09","1.09","-45.5",":","1.91","1.91","2014 Round 1"
"22 Mar 14","Aurora","Lions","91","-48","8.00","0.00","+45.5",":","1.91","0.00","2014 Round 1"
"22 Mar 14","Etihad","Saints","68","+17","2.20","2.20","+6.5",":","1.91","1.91","2014 Round 1"
"22 Mar 14","Etihad","Demons","51","-17","1.70","0.00","-6.5",":","1.91","0.00","2014 Round 1"
"23 Mar 14","Domain","Eagles","134","+65","1.18","1.18","-31.5",":","1.91","1.91","2014 Round 1"
"23 Mar 14","Domain","Bulldogs","69","-65","5.25","0.00","+31.5",":","1.91","0.00","2014 Round 1"
"27 Mar 14","MCG","Tigers","98","+12","1.51","1.51","-11.5",":","1.91","1.91","2014 Round 2"
"27 Mar 14","MCG","Blues","86","-12","2.65","0.00","+11.5",":","1.91","0.00","2014 Round 2"
"28 Mar 14","Etihad","Bombers","86","-4","2.65","0.00","+14.5",":","1.91","1.91","2014 Round 2"
"28 Mar 14","Etihad","Hawks","90","+4","1.50","1.50","-14.5",":","1.91","0.00","2014 Round 2"
"29 Mar 14","Etihad","Saints","95","+7","1.80","1.80","-3.5",":","1.91","1.91","2014 Round 2"
"29 Mar 14","Etihad","Giants","88","-7","2.05","0.00","+3.5",":","1.91","0.00","2014 Round 2"
"29 Mar 14","Adelaide","Power","127","+54","1.74","1.74","-4.5",":","1.91","1.91","2014 Round 2"
